judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gemma_3_12b,minimal,49,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0,0,0,0.0,0.0,0.0,1.0,4077.0,3466.0,7509.599999999999,0.0
gemma_3_12b,minimal,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2944.0,2944.0,2944.0,0.0
gemma_3_12b,minimal,51,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2101.0,2101.0,2101.0,0.0
gemma_3_12b,minimal,52,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0.0,0.0,0.0,1.0,2402.0,2238.0,2971.8999999999996,0.0
gemma_3_12b,minimal,54,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,2,0,1,0,0.0,0.0,0.0,1.0,3009.0,2855.0,3539.0,0.0
gemma_3_12b,minimal,55,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,3570.0,3570.0,3623.1,0.0
gemma_3_12b,minimal,56,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.5,0.5,6875.0,6875.0,6875.0,0.0
gemma_3_12b,minimal,63,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2298.0,2298.0,2298.0,0.0
gemma_3_12b,minimal,64,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,4832.0,4832.0,7056.8,0.0
gemma_3_12b,minimal,65,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2393.0,2393.0,2393.0,0.0
gemma_3_12b,minimal,94,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,8796.5,8796.5,14898.05,0.0
gemma_3_12b,minimal,99,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,3622.0,3622.0,3622.0,0.0
gemma_3_12b,minimal,185,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,2951.0,2951.0,2951.0,0.0
gemma_3_27b,minimal,1,0.7032710280373832,0.6752336448598131,0.028037383177570097,0.8925233644859814,0.7491015674780171,0.9036544850498339,0.9411764705882353,0.9220338983050849,272,29,110,17,0.20863309352517986,0.058823529411764705,0.0,1.0,2024.1004672897195,1978.5,2679.6,0.0
gemma_3_27b,minimal,2,0.7857142857142857,0.8,-0.014285714285714346,0.9,0.6955576265921095,0.9454545454545454,0.9285714285714286,0.9369369369369368,156,9,33,12,0.21428571428571427,0.07142857142857142,0.0,1.0,2092.4857142857145,2044.5,2804.3999999999996,0.0
gemma_3_27b,minimal,3,0.7604166666666666,0.8020833333333334,-0.04166666666666674,0.9166666666666666,0.7561904761904761,0.9726027397260274,0.922077922077922,0.9466666666666667,71,2,17,6,0.10526315789473684,0.07792207792207792,0.0,1.0,2204.4270833333335,2081.0,2960.25,0.0
gemma_3_27b,minimal,4,0.8163265306122449,0.8571428571428571,-0.04081632653061218,0.9183673469387755,0.7012195121951219,0.975,0.9285714285714286,0.951219512195122,39,1,6,3,0.14285714285714285,0.07142857142857142,0.0,1.0,2167.183673469388,2119.0,2732.7999999999997,0.0
gemma_3_27b,minimal,5,0.76,0.76,0.0,1.0,1.0,1.0,1.0,1.0,19,0,6,0,0.0,0.0,0.0,1.0,2027.6,2023.0,2405.0,0.0
gemma_3_27b,minimal,6,0.8484848484848485,0.8181818181818182,0.030303030303030276,0.9696969696969697,0.890909090909091,0.9642857142857143,1.0,0.9818181818181818,27,1,5,0,0.16666666666666666,0.0,0.0,1.0,2112.121212121212,2010.0,2678.2,0.0
gemma_3_27b,minimal,7,0.896551724137931,0.896551724137931,0.0,1.0,1.0,1.0,1.0,1.0,26,0,3,0,0.0,0.0,0.0,1.0,2168.7586206896553,2013.0,2775.6,0.0
gemma_3_27b,minimal,8,0.8709677419354839,0.9032258064516129,-0.032258064516129004,0.967741935483871,0.838961038961039,1.0,0.9642857142857143,0.9818181818181818,27,0,3,1,0.0,0.03571428571428571,0.0,1.0,2074.6129032258063,2063.0,2444.0,0.0
gemma_3_27b,minimal,9,0.85,0.85,0.0,0.9,0.6078431372549022,0.9411764705882353,0.9411764705882353,0.9411764705882353,16,1,2,1,0.3333333333333333,0.058823529411764705,0.0,1.0,2111.8,2015.0,2671.4500000000003,0.0
gemma_3_27b,minimal,10,0.8,0.9,-0.09999999999999998,0.9,0.6078431372549022,1.0,0.8888888888888888,0.9411764705882353,16,0,2,2,0.0,0.1111111111111111,0.0,1.0,2091.45,2018.5,2706.7000000000003,0.0
gemma_3_27b,minimal,11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,2217.818181818182,2125.0,2562.5,0.0
gemma_3_27b,minimal,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13,0,0,0,0.0,0.0,0.0,1.0,2116.4615384615386,2060.0,2473.6,0.0
gemma_3_27b,minimal,13,1.0,0.9285714285714286,0.0714285714285714,0.9285714285714286,-0.03703703703703835,0.9285714285714286,1.0,0.962962962962963,13,1,0,0,1.0,0.0,0.0,1.0,2263.214285714286,2179.5,3003.8999999999996,0.0
gemma_3_27b,minimal,14,0.8666666666666667,0.8666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,13,0,2,0,0.0,0.0,0.0,1.0,2164.9333333333334,2083.0,2757.199999999999,0.0
gemma_3_27b,minimal,15,0.9166666666666666,1.0,-0.08333333333333337,0.9166666666666666,-0.043478260869567936,1.0,0.9166666666666666,0.9565217391304348,11,0,0,1,0.0,0.08333333333333333,0.0,1.0,2088.25,2129.0,2331.8,0.0
gemma_3_27b,minimal,16,0.16666666666666666,0.3333333333333333,-0.16666666666666666,0.8333333333333334,0.5555555555555557,1.0,0.5,0.6666666666666666,1,0,4,1,0.0,0.5,0.0,1.0,2053.3333333333335,1998.0,2453.25,0.0
gemma_3_27b,minimal,17,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,2477.5454545454545,2454.0,3349.0,0.0
gemma_3_27b,minimal,18,0.9230769230769231,0.8461538461538461,0.07692307692307698,0.9230769230769231,0.6231884057971018,0.9166666666666666,1.0,0.9565217391304348,11,1,1,0,0.5,0.0,0.0,1.0,2141.6923076923076,2088.0,2574.0,0.0
gemma_3_27b,minimal,19,0.6,0.4,0.19999999999999996,0.8,0.6000000000000001,0.6666666666666666,1.0,0.8,2,1,2,0,0.3333333333333333,0.0,0.0,1.0,1983.2,1993.0,2160.4,0.0
gemma_3_27b,minimal,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6,0,0,0,0.0,0.0,0.0,1.0,2023.3333333333333,2010.5,2308.5,0.0
gemma_3_27b,minimal,21,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,1.0,10,0,2,0,0.0,0.0,0.0,1.0,2353.25,2358.0,2859.7999999999997,0.0
gemma_3_27b,minimal,22,0.8,0.8,0.0,1.0,1.0,1.0,1.0,1.0,8,0,2,0,0.0,0.0,0.0,1.0,2226.1,2178.0,3026.8499999999995,0.0
gemma_3_27b,minimal,23,0.8666666666666667,0.9333333333333333,-0.06666666666666665,0.9333333333333333,0.6296296296296295,1.0,0.9285714285714286,0.962962962962963,13,0,1,1,0.0,0.07142857142857142,0.0,1.0,2315.5333333333333,2274.0,3085.3999999999987,0.0
gemma_3_27b,minimal,24,0.625,0.625,0.0,1.0,1.0,1.0,1.0,1.0,5,0,3,0,0.0,0.0,0.0,1.0,2142.625,2009.5,2558.85,0.0
gemma_3_27b,minimal,25,0.8,0.8,0.0,1.0,1.0,1.0,1.0,1.0,4,0,1,0,0.0,0.0,0.0,1.0,2113.8,2189.0,2380.6,0.0
gemma_3_27b,minimal,26,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0.0,0.0,0.0,1.0,1975.75,1987.0,2235.2,0.0
gemma_3_27b,minimal,27,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,2129.3636363636365,2117.0,2469.0,0.0
gemma_3_27b,minimal,28,1.0,0.9285714285714286,0.0714285714285714,0.9285714285714286,-0.03703703703703835,0.9285714285714286,1.0,0.962962962962963,13,1,0,0,1.0,0.0,0.0,1.0,2138.6428571428573,2214.5,2411.5,0.0
gemma_3_27b,minimal,29,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.0,1.0,1894.6666666666667,1808.0,2052.8,0.0
gemma_3_27b,minimal,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0,0,0,0.0,0.0,0.0,1.0,2158.4,2168.0,2352.4,0.0
gemma_3_27b,minimal,31,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,0,0,0,0.0,0.0,0.0,1.0,2135.714285714286,1987.0,2611.3999999999996,0.0
gemma_3_27b,minimal,32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2324.5,2324.5,2414.05,0.0
gemma_3_27b,minimal,33,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,1951.0,1951.0,2255.2,0.0
gemma_3_27b,minimal,35,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0.0,0.0,0.0,1.0,2469.25,2426.5,2713.1,0.0
gemma_3_27b,minimal,36,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2133.5,2133.5,2384.15,0.0
gemma_3_27b,minimal,37,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6,0,0,0,0.0,0.0,0.0,1.0,2068.1666666666665,1973.0,2601.75,0.0
gemma_3_27b,minimal,38,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2080.0,2080.0,2162.8,0.0
gemma_3_27b,minimal,39,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2323.0,2323.0,2323.0,0.0
gemma_3_27b,minimal,41,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.0,1.0,2008.6666666666667,1743.0,2530.5,0.0
gemma_3_27b,minimal,43,0.5,1.0,-0.5,0.5,-0.3333333333333333,1.0,0.5,0.6666666666666666,1,0,0,1,0.0,0.5,0.0,1.0,2282.0,2282.0,2363.9,0.0
gemma_3_27b,minimal,44,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2276.5,2276.5,2411.95,0.0
gemma_3_27b,minimal,45,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,2046.0,2046.0,2088.3,0.0
gemma_3_27b,minimal,46,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.0,1.0,2197.0,2262.0,2394.3,0.0
gemma_3_27b,minimal,47,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2113.0,2113.0,2113.0,0.0
gemma_3_27b,minimal,48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2128.0,2128.0,2128.0,0.0
gemma_3_27b,minimal,49,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0,0,0,0.0,0.0,0.0,1.0,2042.8,2171.0,2335.2,0.0
gemma_3_27b,minimal,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2008.0,2008.0,2008.0,0.0
gemma_3_27b,minimal,51,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,2266.0,2266.0,2266.0,0.0
gemma_3_27b,minimal,52,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0.0,0.0,0.0,1.0,2210.75,2163.0,2341.7,0.0
