judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
llama_3_1_8b,minimal,99,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,441.0,441.0,441.0,0.0
llama_3_1_8b,minimal,185,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,450.0,450.0,450.0,0.0
qwen_3_235b,minimal,1,0.6939252336448598,0.6752336448598131,0.01869158878504673,0.897196261682243,0.7619517128049551,0.9124579124579124,0.9377162629757786,0.924914675767918,271,26,113,18,0.18705035971223022,0.06228373702422145,0.0,1.0,19356.22429906542,1503.0,64505.14999999997,0.0
qwen_3_235b,minimal,2,0.7428571428571429,0.8,-0.05714285714285716,0.8476190476190476,0.5679012345679012,0.9358974358974359,0.8690476190476191,0.9012345679012346,146,10,32,22,0.23809523809523808,0.13095238095238096,0.0,1.0,16392.085714285713,749.5,60074.1,0.0
qwen_3_235b,minimal,3,0.75,0.8020833333333334,-0.05208333333333337,0.90625,0.7302949898548463,0.9722222222222222,0.9090909090909091,0.9395973154362416,70,2,17,7,0.10526315789473684,0.09090909090909091,0.0,1.0,16452.041666666668,1000.5,63687.75,0.0
qwen_3_235b,minimal,4,0.7346938775510204,0.8571428571428571,-0.12244897959183665,0.8367346938775511,0.49743589743589767,0.9722222222222222,0.8333333333333334,0.8974358974358975,35,1,6,7,0.14285714285714285,0.16666666666666666,0.0,1.0,23950.95918367347,1686.0,62174.99999999999,0.0
qwen_3_235b,minimal,5,0.72,0.76,-0.040000000000000036,0.96,0.8960498960498959,1.0,0.9473684210526315,0.972972972972973,18,0,6,1,0.0,0.05263157894736842,0.0,1.0,14833.04,485.0,57834.4,0.0
qwen_3_235b,minimal,6,0.7878787878787878,0.8181818181818182,-0.030303030303030387,0.9696969696969697,0.9042089985486212,1.0,0.9629629629629629,0.9811320754716981,26,0,6,1,0.0,0.037037037037037035,0.0,1.0,17769.333333333332,1597.0,56895.0,0.0
qwen_3_235b,minimal,7,0.896551724137931,0.896551724137931,0.0,0.9310344827586207,0.6282051282051279,0.9615384615384616,0.9615384615384616,0.9615384615384616,25,1,2,1,0.3333333333333333,0.038461538461538464,0.0,1.0,16151.724137931034,457.0,58308.6,0.0
qwen_3_235b,minimal,8,0.8709677419354839,0.9032258064516129,-0.032258064516129004,0.9032258064516129,0.5168831168831166,0.9629629629629629,0.9285714285714286,0.9454545454545454,26,1,2,2,0.3333333333333333,0.07142857142857142,0.0,1.0,14522.193548387097,787.0,57978.5,0.0
qwen_3_235b,minimal,9,0.8,0.85,-0.04999999999999993,0.95,0.8268398268398267,1.0,0.9411764705882353,0.9696969696969697,16,0,3,1,0.0,0.058823529411764705,0.0,1.0,6309.2,488.0,54760.05,0.0
qwen_3_235b,minimal,10,0.85,0.9,-0.050000000000000044,0.95,0.7714285714285712,1.0,0.9444444444444444,0.9714285714285714,17,0,2,1,0.0,0.05555555555555555,0.0,1.0,23945.7,1663.0,60397.80000000001,0.0
qwen_3_235b,minimal,11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,7192.636363636364,504.0,33118.5,0.0
qwen_3_235b,minimal,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13,0,0,0,0.0,0.0,0.0,1.0,17912.923076923078,1137.0,57687.399999999994,0.0
qwen_3_235b,minimal,13,0.9285714285714286,0.9285714285714286,0.0,1.0,1.0,1.0,1.0,1.0,13,0,1,0,0.0,0.0,0.0,1.0,12561.5,429.0,57291.55,0.0
qwen_3_235b,minimal,14,0.8666666666666667,0.8666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,13,0,2,0,0.0,0.0,0.0,1.0,20681.4,777.0,61990.2,0.0
qwen_3_235b,minimal,15,0.9166666666666666,1.0,-0.08333333333333337,0.9166666666666666,-0.043478260869567936,1.0,0.9166666666666666,0.9565217391304348,11,0,0,1,0.0,0.08333333333333333,0.0,1.0,9454.166666666666,477.5,53381.6,0.0
qwen_3_235b,minimal,16,0.16666666666666666,0.3333333333333333,-0.16666666666666666,0.8333333333333334,0.5555555555555557,1.0,0.5,0.6666666666666666,1,0,4,1,0.0,0.5,0.0,1.0,19556.0,703.0,57837.0,0.0
qwen_3_235b,minimal,17,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,13727.545454545454,1787.0,59386.0,0.0
qwen_3_235b,minimal,18,0.9230769230769231,0.8461538461538461,0.07692307692307698,0.9230769230769231,0.6231884057971018,0.9166666666666666,1.0,0.9565217391304348,11,1,1,0,0.5,0.0,0.0,1.0,17967.30769230769,679.0,58157.0,0.0
qwen_3_235b,minimal,19,0.6,0.4,0.19999999999999996,0.8,0.6000000000000001,0.6666666666666666,1.0,0.8,2,1,2,0,0.3333333333333333,0.0,0.0,1.0,11483.8,407.0,44729.59999999999,0.0
qwen_3_235b,minimal,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6,0,0,0,0.0,0.0,0.0,1.0,19979.5,3349.5,56423.75,0.0
